indu_label,demand_total_tru2,mean_ind_exp,mean_occ_exp,share_high_occ_p80,coverage
Lagerei sowie Erbringung von sonstigen Dienstleistungen für den Verkehr,15597.1818,-0.9599344375,0.46851352076861547,0.15426877950476925,0.8881019830028328
"Land- und Forstwirtschaft, Fischerei",5606.3021,-1.0345610360000002,-0.49544810272596507,0.07377845371550705,0.9164345403899722
Landverkehr und Transport in Rohrfernleitungen,22429.5099,-0.11150409999999997,0.06754059794105748,0.12690213975651782,0.9012474012474012
Maschinenbau,41626.596000000005,-0.18536159666666663,0.26553547151819357,0.11153561295283428,0.828390860476422
Metallerzeugung und -bearbeitung,19332.685599999997,-0.90477262,0.028311028189261126,0.11970303805075073,0.8011764705882353
Mit Finanz- und Versicherungsdienstleistungen verbundene Tätigkeiten,7319.281000000001,2.1149697,0.6872695237076418,0.4153528741415994,0.8961038961038961
"Post-, Kurier- und Expressdienste",14339.8674,-1.2160006666666667,0.13363465669024302,0.22386036149818234,0.9190871369294605
Private Haushalte,21911.0106,,0.47717713641962606,0.20889727468800542,0.9158576051779935
Rechts- und Steuerberatung. Wirtschaftsprüfung,16349.144600000001,1.6582045,0.8316073154118898,0.5505134011720711,0.9490909090909091
"Reparatur von Datenverarbeitungsgeräten und Gebrauchsgütern, Erbringung von sonstigen überwiegend persönlichen Dienstleistungen",11025.050599999999,-0.3492598523809524,0.15068231118943742,0.18727758038588962,0.9649122807017544
Schifffahrt und Luftfahrt,9938.449,-0.38483084545454543,0.8659147839972288,0.5105324281484968,0.9340277777777778
"Sonstige Herstellung von Waren, Reparatur und Installation",19616.8237,-0.4608999404761904,0.2752654291889397,0.13996881156657384,0.8674971687429218
Sozialwesen (ohne Heime),17479.4833,0.7274457857142858,-0.2210392177481358,0.030328076116529136,0.9187358916478555
"Telekommunikation, Informationstechnologische und Informationsdienstleistungen",62738.4589,0.9881140437500001,0.9313749365915528,0.4191295699805594,0.8684627575277337
Tiefbau,7615.4405,-0.9336955999999998,-0.049514782398776096,0.04597263940280276,0.9257950530035336
"Verlagswesen, audiovisuelle Medien und Rundfunk",28163.8821,1.3283719699999998,0.988071132149722,0.31659575083933467,0.8954545454545455
"Versicherungen, Rückversicherungen und Pensionskassen (ohne Sozialversicherung)",34800.1121,2.08917275,0.9135549852221345,0.557466732987909,0.9636904761904762
Verwaltung und Führung von Untemehmen und Betrieben; Unternehmensberatung,18428.058100000002,1.603005666666666,0.9857809564379489,0.5202955866521823,0.9391891891891891
"Vorbereitende Baustellenarbeiten, Bauinstallation und sonstiges Ausbaugewerbe",96390.5839,-1.2805669647058826,-0.531289707086342,0.0797891794905913,0.955205437133148
