adve_time_year,industry_section,total,eligible,mapped_target,mapped_fallback,unmapped,eligible_share,mapped_target_share_of_eligible,mapped_fallback_share_of_eligible,unmapped_share_of_eligible,domain
2015,Q,519,519,519,0,0,1.0,1.0,0.0,0.0,industry
2015,R,39,39,39,0,0,1.0,1.0,0.0,0.0,industry
2015,S,84,84,84,0,0,1.0,1.0,0.0,0.0,industry
2015,T,13,13,0,0,13,1.0,0.0,0.0,1.0,industry
2015,U,115,115,0,0,115,1.0,0.0,0.0,1.0,industry
2016,AB,20,20,20,0,0,1.0,1.0,0.0,0.0,industry
2016,C,725,725,725,0,0,1.0,1.0,0.0,0.0,industry
2016,DE,55,55,55,0,0,1.0,1.0,0.0,0.0,industry
2016,F,264,264,264,0,0,1.0,1.0,0.0,0.0,industry
2016,G,458,458,458,0,0,1.0,1.0,0.0,0.0,industry
2016,H,149,149,149,0,0,1.0,1.0,0.0,0.0,industry
2016,I,155,155,155,0,0,1.0,1.0,0.0,0.0,industry
2016,J,148,148,148,0,0,1.0,1.0,0.0,0.0,industry
2016,K,291,291,291,0,0,1.0,1.0,0.0,0.0,industry
2016,L,33,33,33,0,0,1.0,1.0,0.0,0.0,industry
2016,M,340,340,340,0,0,1.0,1.0,0.0,0.0,industry
2016,N,71,71,71,0,0,1.0,1.0,0.0,0.0,industry
2016,O,234,234,234,0,0,1.0,1.0,0.0,0.0,industry
2016,P,224,224,224,0,0,1.0,1.0,0.0,0.0,industry
2016,Q,548,548,548,0,0,1.0,1.0,0.0,0.0,industry
2016,R,28,28,28,0,0,1.0,1.0,0.0,0.0,industry
2016,S,85,85,85,0,0,1.0,1.0,0.0,0.0,industry
2016,T,12,12,0,0,12,1.0,0.0,0.0,1.0,industry
2016,U,104,104,0,0,104,1.0,0.0,0.0,1.0,industry
2017,AB,22,22,22,0,0,1.0,1.0,0.0,0.0,industry
2017,C,789,789,789,0,0,1.0,1.0,0.0,0.0,industry
2017,DE,64,64,64,0,0,1.0,1.0,0.0,0.0,industry
2017,F,303,303,303,0,0,1.0,1.0,0.0,0.0,industry
2017,G,411,411,411,0,0,1.0,1.0,0.0,0.0,industry
2017,H,150,150,150,0,0,1.0,1.0,0.0,0.0,industry
2017,I,159,159,159,0,0,1.0,1.0,0.0,0.0,industry
2017,J,131,131,131,0,0,1.0,1.0,0.0,0.0,industry
2017,K,278,278,278,0,0,1.0,1.0,0.0,0.0,industry
2017,L,37,37,37,0,0,1.0,1.0,0.0,0.0,industry
2017,M,275,275,275,0,0,1.0,1.0,0.0,0.0,industry
2017,N,93,93,93,0,0,1.0,1.0,0.0,0.0,industry
2017,O,223,223,223,0,0,1.0,1.0,0.0,0.0,industry
2017,P,178,178,178,0,0,1.0,1.0,0.0,0.0,industry
2017,Q,554,554,554,0,0,1.0,1.0,0.0,0.0,industry
2017,R,24,24,24,0,0,1.0,1.0,0.0,0.0,industry
2017,S,94,94,94,0,0,1.0,1.0,0.0,0.0,industry
2017,T,11,11,0,0,11,1.0,0.0,0.0,1.0,industry
2017,U,98,98,0,0,98,1.0,0.0,0.0,1.0,industry
2018,AB,18,18,18,0,0,1.0,1.0,0.0,0.0,industry
2018,C,801,801,801,0,0,1.0,1.0,0.0,0.0,industry
2018,DE,48,48,48,0,0,1.0,1.0,0.0,0.0,industry
2018,F,286,286,286,0,0,1.0,1.0,0.0,0.0,industry
2018,G,443,443,443,0,0,1.0,1.0,0.0,0.0,industry
2018,H,151,151,151,0,0,1.0,1.0,0.0,0.0,industry
2018,I,153,153,153,0,0,1.0,1.0,0.0,0.0,industry
2018,J,171,171,171,0,0,1.0,1.0,0.0,0.0,industry
2018,K,297,297,297,0,0,1.0,1.0,0.0,0.0,industry
2018,L,27,27,27,0,0,1.0,1.0,0.0,0.0,industry
2018,M,313,313,313,0,0,1.0,1.0,0.0,0.0,industry
2018,N,84,84,84,0,0,1.0,1.0,0.0,0.0,industry
2018,O,309,309,309,0,0,1.0,1.0,0.0,0.0,industry
2018,P,209,209,209,0,0,1.0,1.0,0.0,0.0,industry
2018,Q,512,512,512,0,0,1.0,1.0,0.0,0.0,industry
2018,R,40,40,40,0,0,1.0,1.0,0.0,0.0,industry
2018,S,89,89,89,0,0,1.0,1.0,0.0,0.0,industry
2018,T,18,18,0,0,18,1.0,0.0,0.0,1.0,industry
2018,U,71,71,0,0,71,1.0,0.0,0.0,1.0,industry
2019,AB,9,9,9,0,0,1.0,1.0,0.0,0.0,industry
2019,C,846,846,846,0,0,1.0,1.0,0.0,0.0,industry
2019,DE,63,63,63,0,0,1.0,1.0,0.0,0.0,industry
2019,F,252,252,252,0,0,1.0,1.0,0.0,0.0,industry
2019,G,521,521,521,0,0,1.0,1.0,0.0,0.0,industry
2019,H,191,191,191,0,0,1.0,1.0,0.0,0.0,industry
2019,I,106,106,106,0,0,1.0,1.0,0.0,0.0,industry
2019,J,149,149,149,0,0,1.0,1.0,0.0,0.0,industry
2019,K,305,305,305,0,0,1.0,1.0,0.0,0.0,industry
2019,L,30,30,30,0,0,1.0,1.0,0.0,0.0,industry
2019,M,292,292,292,0,0,1.0,1.0,0.0,0.0,industry
2019,N,111,111,111,0,0,1.0,1.0,0.0,0.0,industry
2019,O,232,232,232,0,0,1.0,1.0,0.0,0.0,industry
2019,P,220,220,220,0,0,1.0,1.0,0.0,0.0,industry
2019,Q,641,641,641,0,0,1.0,1.0,0.0,0.0,industry
2019,R,29,29,29,0,0,1.0,1.0,0.0,0.0,industry
2019,S,53,53,53,0,0,1.0,1.0,0.0,0.0,industry
2019,U,36,36,0,0,36,1.0,0.0,0.0,1.0,industry
2020,AB,8,8,8,0,0,1.0,1.0,0.0,0.0,industry
2020,C,748,748,748,0,0,1.0,1.0,0.0,0.0,industry
2020,DE,61,61,61,0,0,1.0,1.0,0.0,0.0,industry
2020,F,253,253,253,0,0,1.0,1.0,0.0,0.0,industry
2020,G,517,517,517,0,0,1.0,1.0,0.0,0.0,industry
2020,H,164,164,164,0,0,1.0,1.0,0.0,0.0,industry
2020,I,124,124,124,0,0,1.0,1.0,0.0,0.0,industry
2020,J,154,154,154,0,0,1.0,1.0,0.0,0.0,industry
2020,K,280,280,280,0,0,1.0,1.0,0.0,0.0,industry
2020,L,33,33,33,0,0,1.0,1.0,0.0,0.0,industry
2020,M,263,263,263,0,0,1.0,1.0,0.0,0.0,industry
2020,N,110,110,110,0,0,1.0,1.0,0.0,0.0,industry
2020,O,224,224,224,0,0,1.0,1.0,0.0,0.0,industry
2020,P,217,217,217,0,0,1.0,1.0,0.0,0.0,industry
2020,Q,657,657,657,0,0,1.0,1.0,0.0,0.0,industry
2020,R,31,31,31,0,0,1.0,1.0,0.0,0.0,industry
2020,S,57,57,57,0,0,1.0,1.0,0.0,0.0,industry
2020,T,1,1,0,0,1,1.0,0.0,0.0,1.0,industry
2020,U,16,16,0,0,16,1.0,0.0,0.0,1.0,industry
2021,AB,5,5,5,0,0,1.0,1.0,0.0,0.0,industry
2021,C,750,750,750,0,0,1.0,1.0,0.0,0.0,industry
2021,DE,66,66,66,0,0,1.0,1.0,0.0,0.0,industry
2021,F,310,310,310,0,0,1.0,1.0,0.0,0.0,industry
2021,G,465,465,465,0,0,1.0,1.0,0.0,0.0,industry
2021,H,162,162,162,0,0,1.0,1.0,0.0,0.0,industry
2021,I,60,60,60,0,0,1.0,1.0,0.0,0.0,industry
2021,J,174,174,174,0,0,1.0,1.0,0.0,0.0,industry
2021,K,323,323,323,0,0,1.0,1.0,0.0,0.0,industry
2021,L,50,50,50,0,0,1.0,1.0,0.0,0.0,industry
2021,M,297,297,297,0,0,1.0,1.0,0.0,0.0,industry
