adve_time_year,loca_regi_kant_clean,total,eligible,mapped_target,mapped_fallback,unmapped,eligible_share,mapped_target_share_of_eligible,mapped_fallback_share_of_eligible,unmapped_share_of_eligible,domain
2015,6,20,20,15,0,5,1.0,0.75,0.0,0.25,occupation
2015,7,10,10,6,0,4,1.0,0.6,0.0,0.4,occupation
2015,8,28,28,26,0,2,1.0,0.9285714285714286,0.0,0.07142857142857142,occupation
2015,9,48,48,43,0,5,1.0,0.8958333333333334,0.0,0.10416666666666667,occupation
2015,10,62,62,59,0,3,1.0,0.9516129032258065,0.0,0.04838709677419355,occupation
2015,11,101,101,93,0,8,1.0,0.9207920792079208,0.0,0.07920792079207921,occupation
2015,12,164,164,150,0,14,1.0,0.9146341463414634,0.0,0.08536585365853659,occupation
2015,13,81,81,79,0,2,1.0,0.9753086419753086,0.0,0.024691358024691357,occupation
2015,14,60,60,50,0,10,1.0,0.8333333333333334,0.0,0.16666666666666666,occupation
2015,15,26,26,23,0,3,1.0,0.8846153846153846,0.0,0.11538461538461539,occupation
2015,16,6,6,5,0,1,1.0,0.8333333333333334,0.0,0.16666666666666666,occupation
2015,17,266,266,238,0,28,1.0,0.8947368421052632,0.0,0.10526315789473684,occupation
2015,18,82,82,77,0,5,1.0,0.9390243902439024,0.0,0.06097560975609756,occupation
2015,19,234,234,216,0,18,1.0,0.9230769230769231,0.0,0.07692307692307693,occupation
2015,20,74,74,63,0,11,1.0,0.8513513513513513,0.0,0.14864864864864866,occupation
2015,21,60,60,58,0,2,1.0,0.9666666666666667,0.0,0.03333333333333333,occupation
2015,22,187,187,176,0,11,1.0,0.9411764705882353,0.0,0.058823529411764705,occupation
2015,23,129,129,121,0,8,1.0,0.937984496124031,0.0,0.06201550387596899,occupation
2015,24,34,34,27,0,7,1.0,0.7941176470588235,0.0,0.20588235294117646,occupation
2015,25,155,155,140,0,15,1.0,0.9032258064516129,0.0,0.0967741935483871,occupation
2015,26,11,11,10,0,1,1.0,0.9090909090909091,0.0,0.09090909090909091,occupation
2015,,290,290,272,0,18,1.0,0.9379310344827586,0.0,0.06206896551724138,occupation
2016,1,945,945,877,0,68,1.0,0.928042328042328,0.0,0.07195767195767196,occupation
2016,2,511,511,466,0,45,1.0,0.9119373776908023,0.0,0.08806262230919765,occupation
2016,3,157,157,143,0,14,1.0,0.910828025477707,0.0,0.08917197452229299,occupation
2016,4,5,5,5,0,0,1.0,1.0,0.0,0.0,occupation
2016,5,48,48,46,0,2,1.0,0.9583333333333334,0.0,0.041666666666666664,occupation
2016,6,19,19,17,0,2,1.0,0.8947368421052632,0.0,0.10526315789473684,occupation
2016,7,17,17,16,0,1,1.0,0.9411764705882353,0.0,0.058823529411764705,occupation
2016,8,28,28,27,0,1,1.0,0.9642857142857143,0.0,0.03571428571428571,occupation
2016,9,75,75,72,0,3,1.0,0.96,0.0,0.04,occupation
2016,10,63,63,58,0,5,1.0,0.9206349206349206,0.0,0.07936507936507936,occupation
2016,11,133,133,121,0,12,1.0,0.9097744360902256,0.0,0.09022556390977443,occupation
2016,12,186,186,171,0,15,1.0,0.9193548387096774,0.0,0.08064516129032258,occupation
2016,13,88,88,81,0,7,1.0,0.9204545454545454,0.0,0.07954545454545454,occupation
2016,14,41,41,39,0,2,1.0,0.9512195121951219,0.0,0.04878048780487805,occupation
2016,15,19,19,18,0,1,1.0,0.9473684210526315,0.0,0.05263157894736842,occupation
2016,16,7,7,7,0,0,1.0,1.0,0.0,0.0,occupation
2016,17,214,214,194,0,20,1.0,0.9065420560747663,0.0,0.09345794392523364,occupation
2016,18,64,64,61,0,3,1.0,0.953125,0.0,0.046875,occupation
2016,19,218,218,198,0,20,1.0,0.908256880733945,0.0,0.09174311926605505,occupation
2016,20,84,84,71,0,13,1.0,0.8452380952380952,0.0,0.15476190476190477,occupation
2016,21,111,111,93,0,18,1.0,0.8378378378378378,0.0,0.16216216216216217,occupation
2016,22,228,228,210,0,18,1.0,0.9210526315789473,0.0,0.07894736842105263,occupation
2016,23,129,129,120,0,9,1.0,0.9302325581395349,0.0,0.06976744186046512,occupation
2016,24,39,39,31,0,8,1.0,0.7948717948717948,0.0,0.20512820512820512,occupation
2016,25,182,182,173,0,9,1.0,0.9505494505494505,0.0,0.04945054945054945,occupation
2016,26,23,23,23,0,0,1.0,1.0,0.0,0.0,occupation
2016,,310,310,283,0,27,1.0,0.9129032258064517,0.0,0.08709677419354839,occupation
2017,1,901,901,850,0,51,1.0,0.9433962264150944,0.0,0.05660377358490566,occupation
