adve_time_year,_cat,count,share,level
2017,5223,144,0.03697996918335902,isco4
2017,Other,2988,0.7673343605546995,isco4
2018,1221,64,0.015841584158415842,isco4
2018,2221,138,0.03415841584158416,isco4
2018,2431,66,0.016336633663366337,isco4
2018,2512,115,0.028465346534653466,isco4
2018,3112,64,0.015841584158415842,isco4
2018,3313,59,0.014603960396039605,isco4
2018,4110,152,0.03762376237623762,isco4
2018,4419,91,0.022524752475247524,isco4
2018,5131,67,0.016584158415841585,isco4
2018,5223,153,0.03787128712871287,isco4
2018,Other,3071,0.7601485148514852,isco4
2019,1221,69,0.016886930983847283,isco4
2019,2221,175,0.04282917278511992,isco4
2019,2431,53,0.01297112090063632,isco4
2019,2512,131,0.03206069505628977,isco4
2019,3112,58,0.014194811551639746,isco4
2019,3313,44,0.010768477728830151,isco4
2019,4110,128,0.03132648066568772,isco4
2019,4419,101,0.024718551150269212,isco4
2019,5131,54,0.013215859030837005,isco4
2019,5223,180,0.04405286343612335,isco4
2019,Other,3093,0.7569750367107195,isco4
2020,1221,64,0.01633486472690148,isco4
2020,2221,174,0.0444104134762634,isco4
2020,2431,61,0.015569167942827974,isco4
2020,2512,155,0.039561000510464524,isco4
2020,3112,81,0.020673813169984685,isco4
2020,3313,46,0.01174068402246044,isco4
2020,4110,93,0.023736600306278714,isco4
2020,4419,87,0.0222052067381317,isco4
2020,5131,51,0.013016845329249618,isco4
2020,5223,177,0.0451761102603369,isco4
2020,Other,2929,0.7475752935171006,isco4
2021,1221,60,0.014988758431176618,isco4
2021,2221,194,0.048463652260804395,isco4
2021,2431,35,0.00874344241818636,isco4
2021,2512,140,0.03497376967274544,isco4
2021,3112,79,0.019735198601049213,isco4
2021,3313,59,0.014738945790657007,isco4
2021,4110,161,0.04021983512365726,isco4
2021,4419,90,0.022483137646764927,isco4
2021,5131,24,0.005995503372470647,isco4
2021,5223,142,0.03547339495378466,isco4
2021,Other,3019,0.7541843617287035,isco4
2022,1221,55,0.013867876954109935,isco4
2022,2221,201,0.05068078668683813,isco4
2022,2431,72,0.018154311649016642,isco4
2022,2512,135,0.0340393343419062,isco4
2022,3112,74,0.018658598083711547,isco4
2022,3313,52,0.013111447302067574,isco4
2022,4110,208,0.052445789208270296,isco4
2022,4419,133,0.0335350479072113,isco4
2022,5131,38,0.009581442259203227,isco4
2022,5223,98,0.024710035300050427,isco4
2022,Other,2900,0.7312153303076148,isco4
2023,1221,44,0.011853448275862068,isco4
2023,2221,176,0.04741379310344827,isco4
2023,2431,56,0.015086206896551725,isco4
2023,2512,110,0.029633620689655173,isco4
2023,3112,67,0.01804956896551724,isco4
2023,3313,37,0.009967672413793104,isco4
2023,4110,140,0.03771551724137931,isco4
2023,4419,85,0.022898706896551723,isco4
2023,5131,55,0.014816810344827586,isco4
2023,5223,144,0.03879310344827586,isco4
2023,Other,2798,0.7537715517241379,isco4
2024,1221,43,0.010801306204471239,isco4
2024,2221,165,0.04144687264506405,isco4
2024,2431,51,0.01281085154483798,isco4
2024,2512,101,0.025370509922130118,isco4
2024,3112,67,0.016829942225571465,isco4
2024,3313,41,0.010298919869379553,isco4
2024,4110,142,0.03566942979150967,isco4
2024,4419,94,0.02361215774930922,isco4
2024,5131,70,0.017583521728208994,isco4
2024,5223,165,0.04144687264506405,isco4
2024,Other,3042,0.7641296156744537,isco4
