adve_time_year,comp_indu_noga,total,eligible,mapped_target,mapped_fallback,unmapped,eligible_share,mapped_target_share_of_eligible,mapped_fallback_share_of_eligible,unmapped_share_of_eligible,domain
2013,6,40,40,40,0,0,1.0,1.0,0.0,0.0,industry
2013,7,79,79,79,0,0,1.0,1.0,0.0,0.0,industry
2013,8,27,27,27,0,0,1.0,1.0,0.0,0.0,industry
2013,9,30,30,30,0,0,1.0,1.0,0.0,0.0,industry
2013,10,18,18,18,0,0,1.0,1.0,0.0,0.0,industry
2013,11,29,29,29,0,0,1.0,1.0,0.0,0.0,industry
2013,12,62,62,62,0,0,1.0,1.0,0.0,0.0,industry
2013,13,102,102,102,0,0,1.0,1.0,0.0,0.0,industry
2013,14,46,46,46,0,0,1.0,1.0,0.0,0.0,industry
2013,15,135,135,135,0,0,1.0,1.0,0.0,0.0,industry
2013,16,17,17,17,0,0,1.0,1.0,0.0,0.0,industry
2013,17,67,67,67,0,0,1.0,1.0,0.0,0.0,industry
2013,18,68,68,68,0,0,1.0,1.0,0.0,0.0,industry
2013,19,58,58,58,0,0,1.0,1.0,0.0,0.0,industry
2013,20,22,22,22,0,0,1.0,1.0,0.0,0.0,industry
2013,21,235,235,235,0,0,1.0,1.0,0.0,0.0,industry
2013,22,75,75,75,0,0,1.0,1.0,0.0,0.0,industry
2013,23,173,173,173,0,0,1.0,1.0,0.0,0.0,industry
2013,24,345,345,345,0,0,1.0,1.0,0.0,0.0,industry
2013,25,83,83,83,0,0,1.0,1.0,0.0,0.0,industry
2013,26,16,16,16,0,0,1.0,1.0,0.0,0.0,industry
2013,27,55,55,55,0,0,1.0,1.0,0.0,0.0,industry
2013,28,36,36,36,0,0,1.0,1.0,0.0,0.0,industry
2013,29,30,30,30,0,0,1.0,1.0,0.0,0.0,industry
2013,30,167,167,167,0,0,1.0,1.0,0.0,0.0,industry
2013,31,17,17,17,0,0,1.0,1.0,0.0,0.0,industry
2013,32,132,132,132,0,0,1.0,1.0,0.0,0.0,industry
2013,33,136,136,136,0,0,1.0,1.0,0.0,0.0,industry
2013,34,88,88,88,0,0,1.0,1.0,0.0,0.0,industry
2013,35,37,37,37,0,0,1.0,1.0,0.0,0.0,industry
2013,36,33,33,33,0,0,1.0,1.0,0.0,0.0,industry
2013,37,12,12,12,0,0,1.0,1.0,0.0,0.0,industry
2013,38,34,34,34,0,0,1.0,1.0,0.0,0.0,industry
2013,39,192,192,192,0,0,1.0,1.0,0.0,0.0,industry
2013,40,65,65,65,0,0,1.0,1.0,0.0,0.0,industry
2013,41,89,89,89,0,0,1.0,1.0,0.0,0.0,industry
2013,42,264,264,264,0,0,1.0,1.0,0.0,0.0,industry
2013,43,247,247,247,0,0,1.0,1.0,0.0,0.0,industry
2013,44,420,420,420,0,0,1.0,1.0,0.0,0.0,industry
2013,45,137,137,137,0,0,1.0,1.0,0.0,0.0,industry
2013,46,40,40,40,0,0,1.0,1.0,0.0,0.0,industry
2013,47,26,26,26,0,0,1.0,1.0,0.0,0.0,industry
2013,48,56,56,56,0,0,1.0,1.0,0.0,0.0,industry
2013,49,42,42,42,0,0,1.0,1.0,0.0,0.0,industry
2013,50,13,13,0,0,13,1.0,0.0,0.0,1.0,industry
2013,51,105,105,0,0,105,1.0,0.0,0.0,1.0,industry
2014,1,16,16,16,0,0,1.0,1.0,0.0,0.0,industry
2014,2,68,68,68,0,0,1.0,1.0,0.0,0.0,industry
2014,3,8,8,8,0,0,1.0,1.0,0.0,0.0,industry
2014,4,35,35,35,0,0,1.0,1.0,0.0,0.0,industry
2014,5,11,11,11,0,0,1.0,1.0,0.0,0.0,industry
2014,6,38,38,38,0,0,1.0,1.0,0.0,0.0,industry
2014,7,53,53,53,0,0,1.0,1.0,0.0,0.0,industry
2014,8,17,17,17,0,0,1.0,1.0,0.0,0.0,industry
2014,9,28,28,28,0,0,1.0,1.0,0.0,0.0,industry
2014,10,24,24,24,0,0,1.0,1.0,0.0,0.0,industry
2014,11,48,48,48,0,0,1.0,1.0,0.0,0.0,industry
2014,12,50,50,50,0,0,1.0,1.0,0.0,0.0,industry
2014,13,113,113,113,0,0,1.0,1.0,0.0,0.0,industry
2014,14,33,33,33,0,0,1.0,1.0,0.0,0.0,industry
2014,15,126,126,126,0,0,1.0,1.0,0.0,0.0,industry
2014,16,18,18,18,0,0,1.0,1.0,0.0,0.0,industry
2014,17,66,66,66,0,0,1.0,1.0,0.0,0.0,industry
2014,18,65,65,65,0,0,1.0,1.0,0.0,0.0,industry
2014,19,35,35,35,0,0,1.0,1.0,0.0,0.0,industry
2014,20,13,13,13,0,0,1.0,1.0,0.0,0.0,industry
2014,21,225,225,225,0,0,1.0,1.0,0.0,0.0,industry
2014,22,62,62,62,0,0,1.0,1.0,0.0,0.0,industry
2014,23,88,88,88,0,0,1.0,1.0,0.0,0.0,industry
2014,24,334,334,334,0,0,1.0,1.0,0.0,0.0,industry
2014,25,61,61,61,0,0,1.0,1.0,0.0,0.0,industry
2014,26,16,16,16,0,0,1.0,1.0,0.0,0.0,industry
2014,27,56,56,56,0,0,1.0,1.0,0.0,0.0,industry
2014,28,23,23,23,0,0,1.0,1.0,0.0,0.0,industry
2014,29,14,14,14,0,0,1.0,1.0,0.0,0.0,industry
2014,30,137,137,137,0,0,1.0,1.0,0.0,0.0,industry
2014,31,15,15,15,0,0,1.0,1.0,0.0,0.0,industry
2014,32,106,106,106,0,0,1.0,1.0,0.0,0.0,industry
2014,33,118,118,118,0,0,1.0,1.0,0.0,0.0,industry
2014,34,108,108,108,0,0,1.0,1.0,0.0,0.0,industry
2014,35,13,13,13,0,0,1.0,1.0,0.0,0.0,industry
2014,36,29,29,29,0,0,1.0,1.0,0.0,0.0,industry
2014,37,14,14,14,0,0,1.0,1.0,0.0,0.0,industry
2014,38,18,18,18,0,0,1.0,1.0,0.0,0.0,industry
2014,39,169,169,169,0,0,1.0,1.0,0.0,0.0,industry
2014,40,55,55,55,0,0,1.0,1.0,0.0,0.0,industry
2014,41,69,69,69,0,0,1.0,1.0,0.0,0.0,industry
2014,42,233,233,233,0,0,1.0,1.0,0.0,0.0,industry
2014,43,176,176,176,0,0,1.0,1.0,0.0,0.0,industry
2014,44,353,353,353,0,0,1.0,1.0,0.0,0.0,industry
2014,45,94,94,94,0,0,1.0,1.0,0.0,0.0,industry
2014,46,27,27,27,0,0,1.0,1.0,0.0,0.0,industry
2014,47,23,23,23,0,0,1.0,1.0,0.0,0.0,industry
2014,48,31,31,31,0,0,1.0,1.0,0.0,0.0,industry
2014,49,38,38,38,0,0,1.0,1.0,0.0,0.0,industry
2014,50,19,19,0,0,19,1.0,0.0,0.0,1.0,industry
2014,51,103,103,0,0,103,1.0,0.0,0.0,1.0,industry
2015,1,14,14,14,0,0,1.0,1.0,0.0,0.0,industry
2015,2,72,72,72,0,0,1.0,1.0,0.0,0.0,industry
2015,3,4,4,4,0,0,1.0,1.0,0.0,0.0,industry
2015,4,33,33,33,0,0,1.0,1.0,0.0,0.0,industry
2015,5,14,14,14,0,0,1.0,1.0,0.0,0.0,industry
2015,6,31,31,31,0,0,1.0,1.0,0.0,0.0,industry
2015,7,56,56,56,0,0,1.0,1.0,0.0,0.0,industry
2015,8,15,15,15,0,0,1.0,1.0,0.0,0.0,industry
2015,9,20,20,20,0,0,1.0,1.0,0.0,0.0,industry
2015,10,13,13,13,0,0,1.0,1.0,0.0,0.0,industry
2015,11,29,29,29,0,0,1.0,1.0,0.0,0.0,industry
2015,12,48,48,48,0,0,1.0,1.0,0.0,0.0,industry
2015,13,96,96,96,0,0,1.0,1.0,0.0,0.0,industry
2015,14,30,30,30,0,0,1.0,1.0,0.0,0.0,industry
2015,15,105,105,105,0,0,1.0,1.0,0.0,0.0,industry
2015,16,14,14,14,0,0,1.0,1.0,0.0,0.0,industry
2015,17,67,67,67,0,0,1.0,1.0,0.0,0.0,industry
2015,18,61,61,61,0,0,1.0,1.0,0.0,0.0,industry
2015,19,48,48,48,0,0,1.0,1.0,0.0,0.0,industry
2015,20,12,12,12,0,0,1.0,1.0,0.0,0.0,industry
2015,21,204,204,204,0,0,1.0,1.0,0.0,0.0,industry
2015,22,56,56,56,0,0,1.0,1.0,0.0,0.0,industry
2015,23,86,86,86,0,0,1.0,1.0,0.0,0.0,industry
2015,24,278,278,278,0,0,1.0,1.0,0.0,0.0,industry
2015,25,71,71,71,0,0,1.0,1.0,0.0,0.0,industry
2015,26,17,17,17,0,0,1.0,1.0,0.0,0.0,industry
2015,27,50,50,50,0,0,1.0,1.0,0.0,0.0,industry
2015,28,20,20,20,0,0,1.0,1.0,0.0,0.0,industry
2015,29,18,18,18,0,0,1.0,1.0,0.0,0.0,industry
2015,30,150,150,150,0,0,1.0,1.0,0.0,0.0,industry
2015,31,15,15,15,0,0,1.0,1.0,0.0,0.0,industry
2015,32,117,117,117,0,0,1.0,1.0,0.0,0.0,industry
2015,33,137,137,137,0,0,1.0,1.0,0.0,0.0,industry
2015,34,78,78,78,0,0,1.0,1.0,0.0,0.0,industry
2015,35,8,8,8,0,0,1.0,1.0,0.0,0.0,industry
2015,36,39,39,39,0,0,1.0,1.0,0.0,0.0,industry
2015,37,21,21,21,0,0,1.0,1.0,0.0,0.0,industry
2015,38,16,16,16,0,0,1.0,1.0,0.0,0.0,industry
2015,39,166,166,166,0,0,1.0,1.0,0.0,0.0,industry
2015,40,67,67,67,0,0,1.0,1.0,0.0,0.0,industry
2015,41,79,79,79,0,0,1.0,1.0,0.0,0.0,industry
2015,42,247,247,247,0,0,1.0,1.0,0.0,0.0,industry
2015,43,211,211,211,0,0,1.0,1.0,0.0,0.0,industry
2015,44,384,384,384,0,0,1.0,1.0,0.0,0.0,industry
2015,45,93,93,93,0,0,1.0,1.0,0.0,0.0,industry
2015,46,42,42,42,0,0,1.0,1.0,0.0,0.0,industry
2015,47,39,39,39,0,0,1.0,1.0,0.0,0.0,industry
2015,48,36,36,36,0,0,1.0,1.0,0.0,0.0,industry
2015,49,48,48,48,0,0,1.0,1.0,0.0,0.0,industry
2015,50,13,13,0,0,13,1.0,0.0,0.0,1.0,industry
2015,51,115,115,0,0,115,1.0,0.0,0.0,1.0,industry
2016,1,20,20,20,0,0,1.0,1.0,0.0,0.0,industry
2016,2,78,78,78,0,0,1.0,1.0,0.0,0.0,industry
2016,3,4,4,4,0,0,1.0,1.0,0.0,0.0,industry
2016,4,31,31,31,0,0,1.0,1.0,0.0,0.0,industry
2016,5,21,21,21,0,0,1.0,1.0,0.0,0.0,industry
2016,6,27,27,27,0,0,1.0,1.0,0.0,0.0,industry
2016,7,83,83,83,0,0,1.0,1.0,0.0,0.0,industry
2016,8,15,15,15,0,0,1.0,1.0,0.0,0.0,industry
2016,9,25,25,25,0,0,1.0,1.0,0.0,0.0,industry
2016,10,14,14,14,0,0,1.0,1.0,0.0,0.0,industry
2016,11,30,30,30,0,0,1.0,1.0,0.0,0.0,industry
2016,12,39,39,39,0,0,1.0,1.0,0.0,0.0,industry
2016,13,125,125,125,0,0,1.0,1.0,0.0,0.0,industry
2016,14,27,27,27,0,0,1.0,1.0,0.0,0.0,industry
2016,15,118,118,118,0,0,1.0,1.0,0.0,0.0,industry
2016,16,21,21,21,0,0,1.0,1.0,0.0,0.0,industry
2016,17,67,67,67,0,0,1.0,1.0,0.0,0.0,industry
2016,18,55,55,55,0,0,1.0,1.0,0.0,0.0,industry
2016,19,31,31,31,0,0,1.0,1.0,0.0,0.0,industry
2016,20,14,14,14,0,0,1.0,1.0,0.0,0.0,industry
2016,21,219,219,219,0,0,1.0,1.0,0.0,0.0,industry
2016,22,57,57,57,0,0,1.0,1.0,0.0,0.0,industry
2016,23,94,94,94,0,0,1.0,1.0,0.0,0.0,industry
2016,24,307,307,307,0,0,1.0,1.0,0.0,0.0,industry
2016,25,58,58,58,0,0,1.0,1.0,0.0,0.0,industry
2016,26,14,14,14,0,0,1.0,1.0,0.0,0.0,industry
2016,27,49,49,49,0,0,1.0,1.0,0.0,0.0,industry
2016,28,28,28,28,0,0,1.0,1.0,0.0,0.0,industry
2016,29,22,22,22,0,0,1.0,1.0,0.0,0.0,industry
2016,30,133,133,133,0,0,1.0,1.0,0.0,0.0,industry
2016,31,13,13,13,0,0,1.0,1.0,0.0,0.0,industry
2016,32,135,135,135,0,0,1.0,1.0,0.0,0.0,industry
2016,33,165,165,165,0,0,1.0,1.0,0.0,0.0,industry
2016,34,115,115,115,0,0,1.0,1.0,0.0,0.0,industry
2016,35,11,11,11,0,0,1.0,1.0,0.0,0.0,industry
2016,36,33,33,33,0,0,1.0,1.0,0.0,0.0,industry
2016,37,22,22,22,0,0,1.0,1.0,0.0,0.0,industry
2016,38,19,19,19,0,0,1.0,1.0,0.0,0.0,industry
2016,39,234,234,234,0,0,1.0,1.0,0.0,0.0,industry
2016,40,65,65,65,0,0,1.0,1.0,0.0,0.0,industry
