adve_time_year,occu_isco1_code,total,eligible,mapped_target,mapped_fallback,unmapped,eligible_share,mapped_target_share_of_eligible,mapped_fallback_share_of_eligible,unmapped_share_of_eligible,domain
2020,9,78,78,76,0,2,1.0,0.9743589743589743,0.0,0.02564102564102564,occupation
2021,1,215,215,200,0,15,1.0,0.9302325581395349,0.0,0.06976744186046512,occupation
2021,2,1421,1421,1233,0,188,1.0,0.8676988036593948,0.0,0.13230119634060522,occupation
2021,3,779,779,749,0,30,1.0,0.9614890885750963,0.0,0.038510911424903725,occupation
2021,4,467,467,431,0,36,1.0,0.9229122055674518,0.0,0.07708779443254818,occupation
2021,5,405,405,405,0,0,1.0,1.0,0.0,0.0,occupation
2021,6,34,34,34,0,0,1.0,1.0,0.0,0.0,occupation
2021,7,511,511,424,0,87,1.0,0.8297455968688845,0.0,0.17025440313111545,occupation
2021,8,118,118,102,0,16,1.0,0.864406779661017,0.0,0.13559322033898305,occupation
2021,9,53,53,52,0,1,1.0,0.9811320754716981,0.0,0.018867924528301886,occupation
2022,1,237,237,227,0,10,1.0,0.9578059071729957,0.0,0.04219409282700422,occupation
2022,2,1392,1392,1228,0,164,1.0,0.882183908045977,0.0,0.11781609195402298,occupation
2022,3,796,796,697,0,99,1.0,0.8756281407035176,0.0,0.12437185929648241,occupation
2022,4,561,561,512,0,49,1.0,0.9126559714795008,0.0,0.0873440285204991,occupation
2022,5,390,390,388,0,2,1.0,0.9948717948717949,0.0,0.005128205128205128,occupation
2022,6,27,27,27,0,0,1.0,1.0,0.0,0.0,occupation
2022,7,399,399,341,0,58,1.0,0.8546365914786967,0.0,0.14536340852130325,occupation
2022,8,97,97,70,0,27,1.0,0.7216494845360825,0.0,0.27835051546391754,occupation
2022,9,67,67,59,0,8,1.0,0.8805970149253731,0.0,0.11940298507462686,occupation
2023,1,234,234,215,0,19,1.0,0.9188034188034188,0.0,0.0811965811965812,occupation
2023,2,1150,1150,996,0,154,1.0,0.8660869565217392,0.0,0.13391304347826086,occupation
2023,3,825,825,718,0,107,1.0,0.8703030303030304,0.0,0.1296969696969697,occupation
2023,4,472,472,419,0,53,1.0,0.8877118644067796,0.0,0.11228813559322035,occupation
2023,5,430,430,430,0,0,1.0,1.0,0.0,0.0,occupation
2023,6,22,22,22,0,0,1.0,1.0,0.0,0.0,occupation
2023,7,407,407,353,0,54,1.0,0.8673218673218673,0.0,0.13267813267813267,occupation
2023,8,108,108,75,0,33,1.0,0.6944444444444444,0.0,0.3055555555555556,occupation
2023,9,64,64,59,0,5,1.0,0.921875,0.0,0.078125,occupation
2024,1,291,291,268,0,23,1.0,0.9209621993127147,0.0,0.07903780068728522,occupation
2024,2,1134,1134,996,0,138,1.0,0.8783068783068783,0.0,0.12169312169312169,occupation
2024,3,869,869,770,0,99,1.0,0.8860759493670886,0.0,0.11392405063291139,occupation
2024,4,452,452,416,0,36,1.0,0.9203539823008849,0.0,0.07964601769911504,occupation
2024,5,540,540,539,0,1,1.0,0.9981481481481481,0.0,0.001851851851851852,occupation
2024,6,21,21,21,0,0,1.0,1.0,0.0,0.0,occupation
2024,7,478,478,415,0,63,1.0,0.8682008368200836,0.0,0.13179916317991633,occupation
2024,8,109,109,83,0,26,1.0,0.7614678899082569,0.0,0.23853211009174313,occupation
2024,9,87,87,80,0,7,1.0,0.9195402298850575,0.0,0.08045977011494253,occupation
