adve_time_year,loca_regi_kant_clean,total,eligible,mapped_target,mapped_fallback,unmapped,eligible_share,mapped_target_share_of_eligible,mapped_fallback_share_of_eligible,unmapped_share_of_eligible,domain
2013,19,276,276,272,0,4,1.0,0.9855072463768116,0.0,0.014492753623188406,industry
2013,20,93,93,91,0,2,1.0,0.978494623655914,0.0,0.021505376344086023,industry
2013,21,85,85,79,0,6,1.0,0.9294117647058824,0.0,0.07058823529411765,industry
2013,22,226,226,220,0,6,1.0,0.9734513274336283,0.0,0.02654867256637168,industry
2013,23,181,181,180,0,1,1.0,0.994475138121547,0.0,0.0055248618784530384,industry
2013,24,88,88,86,0,2,1.0,0.9772727272727273,0.0,0.022727272727272728,industry
2013,25,149,149,148,0,1,1.0,0.9932885906040269,0.0,0.006711409395973154,industry
2013,26,18,18,18,0,0,1.0,1.0,0.0,0.0,industry
2013,,188,188,171,0,17,1.0,0.9095744680851063,0.0,0.09042553191489362,industry
2014,1,875,875,845,0,30,1.0,0.9657142857142857,0.0,0.03428571428571429,industry
2014,2,513,513,501,0,12,1.0,0.9766081871345029,0.0,0.023391812865497075,industry
2014,3,145,145,143,0,2,1.0,0.9862068965517241,0.0,0.013793103448275862,industry
2014,4,3,3,3,0,0,1.0,1.0,0.0,0.0,industry
2014,5,37,37,36,0,1,1.0,0.972972972972973,0.0,0.02702702702702703,industry
2014,6,16,16,16,0,0,1.0,1.0,0.0,0.0,industry
2014,7,12,12,11,0,1,1.0,0.9166666666666666,0.0,0.08333333333333333,industry
2014,8,21,21,20,0,1,1.0,0.9523809523809523,0.0,0.047619047619047616,industry
2014,9,55,55,54,0,1,1.0,0.9818181818181818,0.0,0.01818181818181818,industry
2014,10,66,66,63,0,3,1.0,0.9545454545454546,0.0,0.045454545454545456,industry
2014,11,133,133,131,0,2,1.0,0.9849624060150376,0.0,0.015037593984962405,industry
2014,12,150,150,146,0,4,1.0,0.9733333333333334,0.0,0.02666666666666667,industry
2014,13,97,97,93,0,4,1.0,0.9587628865979382,0.0,0.041237113402061855,industry
2014,14,43,43,43,0,0,1.0,1.0,0.0,0.0,industry
2014,15,27,27,27,0,0,1.0,1.0,0.0,0.0,industry
2014,16,9,9,9,0,0,1.0,1.0,0.0,0.0,industry
2014,17,313,313,310,0,3,1.0,0.9904153354632588,0.0,0.009584664536741214,industry
2014,18,61,61,58,0,3,1.0,0.9508196721311475,0.0,0.04918032786885246,industry
2014,19,230,230,225,0,5,1.0,0.9782608695652174,0.0,0.021739130434782608,industry
2014,20,80,80,79,0,1,1.0,0.9875,0.0,0.0125,industry
2014,21,94,94,91,0,3,1.0,0.9680851063829787,0.0,0.031914893617021274,industry
2014,22,187,187,176,0,11,1.0,0.9411764705882353,0.0,0.058823529411764705,industry
2014,23,103,103,100,0,3,1.0,0.970873786407767,0.0,0.02912621359223301,industry
2014,24,70,70,65,0,5,1.0,0.9285714285714286,0.0,0.07142857142857142,industry
2014,25,132,132,124,0,8,1.0,0.9393939393939394,0.0,0.06060606060606061,industry
2014,26,26,26,26,0,0,1.0,1.0,0.0,0.0,industry
2014,,194,194,175,0,19,1.0,0.9020618556701031,0.0,0.0979381443298969,industry
2015,1,871,871,850,0,21,1.0,0.9758897818599311,0.0,0.024110218140068886,industry
2015,2,493,493,485,0,8,1.0,0.9837728194726166,0.0,0.016227180527383367,industry
2015,3,160,160,155,0,5,1.0,0.96875,0.0,0.03125,industry
2015,4,5,5,5,0,0,1.0,1.0,0.0,0.0,industry
2015,5,46,46,46,0,0,1.0,1.0,0.0,0.0,industry
2015,6,20,20,20,0,0,1.0,1.0,0.0,0.0,industry
2015,7,10,10,9,0,1,1.0,0.9,0.0,0.1,industry
2015,8,28,28,28,0,0,1.0,1.0,0.0,0.0,industry
2015,9,48,48,45,0,3,1.0,0.9375,0.0,0.0625,industry
2015,10,62,62,62,0,0,1.0,1.0,0.0,0.0,industry
2015,11,101,101,97,0,4,1.0,0.9603960396039604,0.0,0.039603960396039604,industry
2015,12,164,164,159,0,5,1.0,0.9695121951219512,0.0,0.03048780487804878,industry
2015,13,81,81,80,0,1,1.0,0.9876543209876543,0.0,0.012345679012345678,industry
2015,14,60,60,60,0,0,1.0,1.0,0.0,0.0,industry
2015,15,26,26,25,0,1,1.0,0.9615384615384616,0.0,0.038461538461538464,industry
2015,16,6,6,6,0,0,1.0,1.0,0.0,0.0,industry
2015,17,266,266,260,0,6,1.0,0.9774436090225563,0.0,0.022556390977443608,industry
2015,18,82,82,82,0,0,1.0,1.0,0.0,0.0,industry
2015,19,234,234,228,0,6,1.0,0.9743589743589743,0.0,0.02564102564102564,industry
2015,20,74,74,73,0,1,1.0,0.9864864864864865,0.0,0.013513513513513514,industry
2015,21,60,60,56,0,4,1.0,0.9333333333333333,0.0,0.06666666666666667,industry
2015,22,187,187,180,0,7,1.0,0.9625668449197861,0.0,0.0374331550802139,industry
2015,23,129,129,129,0,0,1.0,1.0,0.0,0.0,industry
2015,24,34,34,34,0,0,1.0,1.0,0.0,0.0,industry
2015,25,155,155,147,0,8,1.0,0.9483870967741935,0.0,0.05161290322580645,industry
2015,26,11,11,11,0,0,1.0,1.0,0.0,0.0,industry
2015,,290,290,243,0,47,1.0,0.8379310344827586,0.0,0.16206896551724137,industry
2016,1,945,945,930,0,15,1.0,0.9841269841269841,0.0,0.015873015873015872,industry
2016,2,511,511,504,0,7,1.0,0.9863013698630136,0.0,0.0136986301369863,industry
2016,3,157,157,155,0,2,1.0,0.9872611464968153,0.0,0.012738853503184714,industry
2016,4,5,5,5,0,0,1.0,1.0,0.0,0.0,industry
2016,5,48,48,46,0,2,1.0,0.9583333333333334,0.0,0.041666666666666664,industry
2016,6,19,19,19,0,0,1.0,1.0,0.0,0.0,industry
2016,7,17,17,17,0,0,1.0,1.0,0.0,0.0,industry
2016,8,28,28,28,0,0,1.0,1.0,0.0,0.0,industry
2016,9,75,75,74,0,1,1.0,0.9866666666666667,0.0,0.013333333333333334,industry
2016,10,63,63,63,0,0,1.0,1.0,0.0,0.0,industry
2016,11,133,133,130,0,3,1.0,0.9774436090225563,0.0,0.022556390977443608,industry
2016,12,186,186,182,0,4,1.0,0.978494623655914,0.0,0.021505376344086023,industry
2016,13,88,88,87,0,1,1.0,0.9886363636363636,0.0,0.011363636363636364,industry
2016,14,41,41,39,0,2,1.0,0.9512195121951219,0.0,0.04878048780487805,industry
2016,15,19,19,19,0,0,1.0,1.0,0.0,0.0,industry
2016,16,7,7,7,0,0,1.0,1.0,0.0,0.0,industry
2016,17,214,214,211,0,3,1.0,0.985981308411215,0.0,0.014018691588785047,industry
2016,18,64,64,64,0,0,1.0,1.0,0.0,0.0,industry
2016,19,218,218,212,0,6,1.0,0.9724770642201835,0.0,0.027522935779816515,industry
2016,20,84,84,84,0,0,1.0,1.0,0.0,0.0,industry
2016,21,111,111,107,0,4,1.0,0.963963963963964,0.0,0.036036036036036036,industry
2016,22,228,228,224,0,4,1.0,0.9824561403508771,0.0,0.017543859649122806,industry
